"time","timeDate","close","high","low","open","volumefrom","volumeto"
1518914700000,"2018-02-17",11076.82,11083.22,11071.86,11081.64,262.1,2914363.5
1518915000000,"2018-02-17",11100.17,11101.77,11076.79,11076.82,512.23,5700723.16
1518915300000,"2018-02-17",11131.14,11131.93,11100.53,11100.53,948.02,10558413.87
1518915600000,"2018-02-17",11143.85,11144.61,11110.42,11131.14,765.94,8546663.89
1518915900000,"2018-02-17",11146.31,11146.74,11131.75,11143.85,426.95,4764088.42
1518916200000,"2018-02-17",11158.07,11167.68,11144.28,11146.31,1221.8,13627682.8
1518916500000,"2018-02-17",11148.09,11157.37,11130.94,11157.26,735.03,8229324.16
1518916800000,"2018-02-17",11173.33,11173.41,11145.63,11148.09,687.77,7682384.5
1518917100000,"2018-02-17",11210.85,11211.29,11170.31,11173.33,765.63,8584585.71
1518917400000,"2018-02-17",11223.53,11223.97,11188.41,11212.74,886.96,9948651.13
1518917700000,"2018-02-17",11268.9,11270.36,11222.69,11223.53,1131.54,12766848.97
1518918000000,"2018-02-17",11243.2,11275.23,11218.28,11269.1,943.81,10643015.12
1518918300000,"2018-02-17",11186.75,11243.06,11184.13,11243.05,674.67,7578756.11
1518918600000,"2018-02-17",11230.11,11232.26,11184.6,11187.38,429.47,4825184.56
1518918900000,"2018-02-17",11222.32,11231.13,11203.91,11230.2,405.09,4561680.07
1518919200000,"2018-02-17",11211.25,11235.51,11205.63,11222.32,334.08,3760309.28
1518919500000,"2018-02-17",11184.26,11218.79,11179.39,11211.46,501.2,5613504.1
1518919800000,"2018-02-17",11206.39,11208.27,11175.73,11184.26,423.39,4748009.56
1518920100000,"2018-02-17",11208.42,11209.61,11200.97,11206.39,230.95,2609354.7
1518920400000,"2018-02-17",11228.21,11242.27,11207.59,11208.22,565.32,6347184.25
1518920700000,"2018-02-17",11228.12,11229.79,11219.93,11227.36,162.94,1839519.71
1518921000000,"2018-02-17",11248.8,11248.93,11227.06,11228.12,218.98,2478386.95
1518921300000,"2018-02-17",11280.78,11281,11248.38,11249.55,511.77,5774533.57
1518921600000,"2018-02-17",11279.24,11284.72,11268.67,11280.78,350.55,3968153.26
1518921900000,"2018-02-17",11257.65,11288.34,11257.25,11279.24,839.86,9461320.89
1518922200000,"2018-02-17",11195.19,11259.36,11194.76,11257.46,999.65,11208505.25
1518922500000,"2018-02-17",11122.85,11217.3,11107.05,11194.72,1625.36,18114170.22
1518922800000,"2018-02-17",11133.85,11138.2,11087.64,11121.38,1006.81,11211430.27
1518923100000,"2018-02-17",11140.17,11163.62,11106.96,11134.47,987.28,11016817.79
1518923400000,"2018-02-17",11128.35,11140.16,11121.81,11140.16,247.67,2767420.7
1518923700000,"2018-02-17",11049.9,11128.35,11036.53,11128.35,1136.23,12603378.46
1518924000000,"2018-02-17",10953.89,11053.08,10950.79,11048.51,1236.45,13599989.45
1518924300000,"2018-02-17",10975.29,10992.66,10950.01,10953.89,836.88,9223171.68
1518924600000,"2018-02-17",10983.22,10983.22,10937.19,10975.29,767.81,8424356.09
1518924900000,"2018-02-17",11008.17,11008.61,10948.5,10983.22,630.24,6940377.09
1518925200000,"2018-02-17",11022.93,11037.18,11002.33,11008.21,486,5378329.66
1518925500000,"2018-02-17",10955.23,11025.16,10926.3,11022.93,1061.55,11640956.54
1518925800000,"2018-02-17",10919.12,10961.26,10919.01,10955.23,588.96,6484340.73
1518926100000,"2018-02-17",10860.05,10919.86,10820.44,10919.34,1695.8,18463042.02
1518926400000,"2018-02-17",10893.68,10894.03,10818.85,10860.18,801.67,8722481.54
